original_text,augmented_text
@trippy_tay :: [ Mixtape ] Criminal Manne - Trap Talk :: Jan . 30th ! http://t.co/2HixTIfmvL @LiveMixtapes @Trapaholics @Criminal_Manne,[CLS] @ trip ##py _ ta ##y : : [ Mix ##ta ##pe ] Criminal - Mann - T ##rap Talk : - Jan . 30th ! http : / / t . co / 2 ##H ##ix ##TI ##f ##m ##v ##L @ Live ##M ##ix ##ta ##pes @ T ##rap ##ah ##olic ##s @ Criminal _ Mann . [SEP] [PAD] [PAD] [PAD]
"Top 10 Android tablets of 2014 http://t.co/XG2i30gNHC December 16 , 2014 at 04:00 PM","[CLS] Top 10 Android tablets of 2014 http : / / t . co Medical X ##G ##2 moss ##30 ##g ##S ##HC December 16 , 2014 at 04 : 00 PM [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
@juliehatesu let 's go to Disneyland tomorrow and scare little kids again,[CLS] @ j ##uli ##eh ##ates ##u let ' s go to Disney ##land tomorrow to scare little kids again [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @NOT_MOTD : Alberto Moreno is a fitness worry for Liverpool tomorrow after losing his head . http://t.co/fBv2eBYK0l,[CLS] R ##T @ NO ##T @ M ##Y ##Y : Alberto Moreno is a fitness worry for me tomorrow after losing his leg . http : / / t . co / f ##B ##v ##2 ##e ##B ##Y ##K ##0 ##l [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @Independent : Sadly we're not all going to float in the air for five minutes on Sunday http://t.co/N50FW1szk7 http://t.co/JHVqE88ymc,[CLS] R ##T @ Independent ##s Sad ##ly we we re - all going to float in the air for five minutes . . http : / / t . co / N ##50 ##F ##W ##1 ##sz ##k ##c http : / / t . co / J ##H ##V ##q ##E ##8 ##8 ##ym ##c [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Kinda not excited for tomorrow,[CLS] Kind ##a not excited for tomorrow [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"@SophieTantam Yes we are , pop along to our next meeting on 11th Feb and you can join then or come as a guest to see if you like us first ! ;-)",[CLS] - Sophie ##T ##ant ##am Yes we will will pop along for our next show on the Feb and you can join us or come as a guest to see if you like it first ! ; - ) [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"Hi Tbuddies please read this picture for our first ever selfie competition , Hurry this event close 31 January :) http://t.co/Mtzrzijeq9","[CLS] Hi T ##bu ##dd ##ies setting up this picture for our first ever bird ##ie competition , cu ##rry this event close 31 January : : http : / / t . co . Mt . ##gu ##i ##je ##q ##9 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Come out and support Raw Illest and Storm April 14th at the Whiskey with Classified !,[CLS] Come out and support Raw Il ##les ##t and Storm April 14th at the W ##his ##key with Class ##ified ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
You may be overly demonstrative about a social or political is ... More for Aquarius http://t.co/tZiLLrqmmo,[CLS] You may be overly demons ##tra ##tive about a social or political is . . . More of A ##qua ##rius http : / / t . co / t ##sp ##i ##LL ##r ##q ##mm ##o [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @RyanLMcElven : If this gets 1,000 Retweets a huge Snowstorm will hit on Sunday .. and schools will be closed for a week . #RT #CloseFcps","[CLS] R ##T @ Ryan ##LM ##c ##E ##lve ##n : If this happens 1 , 000 Re ##t ##con ##s a huge Snow ##storm will ##tsk on Sunday . . and schools will be closed for a week . # R ##T # Close ##F ##c . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Had to be at work at 8:30 today and tomorrow at 7 ..... What is life ? What is sleep ?,[CLS] Had to be at noon at 8 : 30 today and tomorrow at 7 . . . . . What is life ? What is sleep ? [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @ygtristan400 : Don't remember the last time I actually did something fun on a Friday,[CLS] R ##T - y ##gt ##rist ##an Metropolitan ##0 : Don ' t remember the last time I actually did something fun on a Friday [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@champagne_nick @mkc419 I hear Nashville 's a good spot and there was snow on Friday !,[CLS] | champagne _ ni ##ck @ m ##k ##c ##41 ##9 I hear Nashville ' s a good spot and there was snow on Friday abused [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Fourteen chapters in . January 's not even over yet . #conquering #amwriting #nostopping #readit,[CLS] Fourteen chapters in . The ##s is not finished finished yet . # conquer ##ing # am ##writing # no ##stop ##ting # read ##it [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
DAT VOICE OH MY ---- https://t.co/wU0NquEfz5,[CLS] D ##AT V ##O ##IC ##E OH M ##Y - - - - https : / / www . co / w ##U ##0 ##N ##q ##u - ##b ##z ##5 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
#7882 Samsung WB350F Smart Digital Camera - Brown + 16GB http://t.co/87s12vcREn $ 138.89 End Date : Monday Jan-1 ... http://t.co/RElhWTbRgD,[CLS] # 00 ##8 ##2 Samsung W ##B ##35 ##0 ##F Smart Digital Camera - 2 + 16 ##GB http : / / t . co / 87 ##s ##12 ##v T ##RE - $ 1 . 89 ##0 Date : Monday Jan - 1 . . . http : / / t . co / R ##E ##l ##T ##W ##T ##b [SEP]
"@null http://t.co/qO8KN6A2B9 December 12 , 2014 at 04:32 PM -DKF-","[CLS] @ null http : / / t . co / q ##C ##C ##K ##N ##6 ##A ##2 ##B Archived December 12 , 2014 at 8 : 32 PM - D ##K ##F . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
"http://t.co/bO1bGYkIBq January 11 , 2015 at 05:42 PM http://t.co/JaAUxO2ukR","[CLS] http : / / t . co / connectivity ##b ##1 ##b ##G ##Y ##k ##IB ##q January 11 , manuscripts at 05 : 42 PM http : / / t . co / J ##a ##A ##U ##x ##O ##2 ##uk ##R [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
@kuabt Young Dro and Cap 1 celebrate their birthdays this Friday @AtlHarlemNights text HARLEM to 545454 enter free til 12,[CLS] @ k ##ua ##bt Young Dr ##o and Cap 1 celebrate their birthday ##s this Friday @ At ##om ##H ##ar ##gy ##N ##ight ##s text H ##OT ##LE ##M to 54 ##5 ##45 ##4 enter free til 12 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @BBCBreaking : US economy grows by 5% between July &amp; Sept , fastest quarterly growth since summer of 2003 , Commerce Department says","[CLS] R ##T @ BBC ##B ##reak ##ing : US economy grows by 5 % in July & am ##p ; Sept , with quarterly growth since summer of 2003 , Commerce Department says [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
"@wallyball @MSGNetworks @alanhahn @AlTrautwig these close game losses are tough , could it just be a Mental lapse in 4th ? Played well Enuff !","[CLS] @ wall ##y ##ball @ MS ##G ##Net ##works @ al ##an ##ha ##hn @ Al ##T ##ib ##ut ##wig these close personal losses are real , could it just be a Mental Corps ##e in 4th ? Played well En ##uff ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
RT @SincerelyTumblr : getting in the car for school tomorrow like http://t.co/Nmjbxpxajt,[CLS] R ##T @ Since ##rel ##y ##T ##um ##b ##l . : getting in the car for school tomorrow like http : / / t . co / N ##m ##j ##b ##x . . ##x ##t [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
