,layer,pos,prob
0,0,0,0.022017870098352432
1,0,1,0.03628019616007805
2,0,2,0.024556366726756096
3,0,3,0.024969005957245827
4,0,4,0.02573920227587223
5,0,5,0.02595384418964386
6,0,6,0.02534298039972782
7,1,0,0.0259838979691267
8,1,1,0.03315019980072975
9,1,2,0.024538883939385414
10,1,3,0.02490811236202717
11,1,4,0.025602610781788826
12,1,5,0.02591022290289402
13,1,6,0.025187984108924866
14,2,0,0.0184638611972332
15,2,1,0.029476305469870567
16,2,2,0.024608220905065536
17,2,3,0.02500840276479721
18,2,4,0.025357691571116447
19,2,5,0.02586100623011589
20,2,6,0.025245042517781258
21,3,0,0.020772268995642662
22,3,1,0.028519388288259506
23,3,2,0.02475661225616932
24,3,3,0.0238584466278553
25,3,4,0.025076791644096375
26,3,5,0.025809798389673233
27,3,6,0.025093063712120056
28,4,0,0.02317204512655735
29,4,1,0.027387436479330063
30,4,2,0.025240805000066757
31,4,3,0.02319399267435074
32,4,4,0.024564631283283234
33,4,5,0.02567419782280922
34,4,6,0.025293488055467606
35,5,0,0.024609645828604698
36,5,1,0.02771868370473385
37,5,2,0.025143517181277275
38,5,3,0.024335408583283424
39,5,4,0.024165282025933266
40,5,5,0.026008542627096176
41,5,6,0.02651720494031906
42,6,0,0.02762770839035511
43,6,1,0.028004901483654976
44,6,2,0.024027908220887184
45,6,3,0.024783266708254814
46,6,4,0.024395110085606575
47,6,5,0.026284843683242798
48,6,6,0.0265151746571064
49,7,0,0.02707759104669094
50,7,1,0.02714688517153263
51,7,2,0.025260305032134056
52,7,3,0.3137328624725342
53,7,4,0.024599218741059303
54,7,5,0.02629663608968258
55,7,6,0.02578837238252163
56,8,0,0.02657601796090603
57,8,1,0.026644950732588768
58,8,2,0.025380916893482208
59,8,3,0.603235125541687
60,8,4,0.024610072374343872
61,8,5,0.02628771774470806
62,8,6,0.02574673667550087
63,9,0,0.026979325339198112
64,9,1,0.025815365836024284
65,9,2,0.025224093347787857
66,9,3,0.7124197483062744
67,9,4,0.024750428274273872
68,9,5,0.02656230889260769
69,9,6,0.025294020771980286
