,layer,pos,prob
0,0,0,0.0003127389354631305
1,0,1,0.0013967447448521852
2,0,2,0.0028968302067369223
3,0,3,0.001611331244930625
4,1,0,0.00039608721272088587
5,1,1,0.001127114170230925
6,1,2,0.003058664733543992
7,1,3,0.001538467244245112
8,2,0,0.0004352811083663255
9,2,1,0.0005361202056519687
10,2,2,0.003201303305104375
11,2,3,0.0015075696865096688
12,3,0,0.00043722146074287593
13,3,1,0.00011379190254956484
14,3,2,0.002951200120151043
15,3,3,0.0015221256762742996
16,4,0,0.0004324444162193686
17,4,1,0.00010506963735679165
18,4,2,0.0030549177899956703
19,4,3,0.0015556362923234701
20,5,0,0.00043209860450588167
21,5,1,0.00010340771405026317
22,5,2,0.0036987613420933485
23,5,3,0.0017400694778189063
24,6,0,0.00041306548519060016
25,6,1,3.485086199361831e-05
26,6,2,0.0017583058215677738
27,6,3,0.0016238345997408032
28,7,0,0.00020495509670581669
29,7,1,1.493490253778873e-05
30,7,2,0.0017962134443223476
31,7,3,0.0015786894364282489
32,8,0,0.0003175346355419606
33,8,1,1.0280952665198129e-05
34,8,2,0.0008713351562619209
35,8,3,0.0014954425860196352
36,9,0,0.0003453388635534793
37,9,1,9.127938028541394e-06
38,9,2,0.0009063592879101634
39,9,3,0.0015646282117813826
40,10,0,0.00030134772532619536
41,10,1,2.5745106540853158e-05
42,10,2,0.0015568913659080863
43,10,3,0.0018109215889126062
44,11,0,0.0006230941507965326
45,11,1,0.00014462610124610364
46,11,2,0.0023355300072580576
47,11,3,0.0022800525184720755
48,12,0,0.0008820422226563096
49,12,1,0.0003754762001335621
50,12,2,0.0036024434957653284
51,12,3,0.003697439096868038
52,13,0,0.0009288716828450561
53,13,1,0.002498151268810034
54,13,2,0.008971181698143482
55,13,3,0.004465985111892223
56,14,0,0.0009753945632837713
57,14,1,0.002813437720760703
58,14,2,0.02019674889743328
59,14,3,0.00683983787894249
60,15,0,0.0009901440935209394
61,15,1,0.004504232667386532
62,15,2,0.023163972422480583
63,15,3,0.007816041819751263
64,16,0,0.0009938378352671862
65,16,1,0.005706512834876776
66,16,2,0.02627502754330635
67,16,3,0.009949665516614914
68,17,0,0.0009970023529604077
69,17,1,0.006350063718855381
70,17,2,0.03560683876276016
71,17,3,0.014356588944792747
72,18,0,0.000998632749542594
73,18,1,0.00622025178745389
74,18,2,0.04992483928799629
75,18,3,0.020996732637286186
76,19,0,0.000999453361146152
77,19,1,0.005091705825179815
78,19,2,0.04011736437678337
79,19,3,0.020462641492486
80,20,0,0.0010007316013798118
81,20,1,0.004341211169958115
82,20,2,0.03735632449388504
83,20,3,0.02282521314918995
84,21,0,0.0010005240328609943
85,21,1,0.004651012364774942
86,21,2,0.024885591119527817
87,21,3,0.023049848154187202
88,22,0,0.0010005263611674309
89,22,1,0.005363451782613993
90,22,2,0.021835049614310265
91,22,3,0.023325150832533836
92,23,0,0.0010012146085500717
93,23,1,0.0033396275248378515
94,23,2,0.014098179526627064
95,23,3,0.029909512028098106
96,24,0,0.0010016598971560597
97,24,1,0.0029061553068459034
98,24,2,0.006023670081049204
99,24,3,0.020759064704179764
100,25,0,0.0010019919136539102
101,25,1,0.002059308113530278
102,25,2,0.0063715409487485886
103,25,3,0.030773092061281204
104,26,0,0.0010017247404903173
105,26,1,0.0015049841022118926
106,26,2,0.006370958406478167
107,26,3,0.040989950299263
108,27,0,0.0010028587421402335
109,27,1,0.0011503953719511628
110,27,2,0.0031464698258787394
111,27,3,0.03947039321064949
112,28,0,0.0010031048441305757
113,28,1,0.00113100151065737
114,28,2,0.002046689623966813
